"","GLDS-6_array_Rnor_SDR_keratinocytes_CTRL_Rep1_GSM144733_raw1.CEL.gz","GLDS-6_array_Rnor_SDR_keratinocytes_CTRL_Rep2_GSM144734_raw.CEL.gz","GLDS-6_array_Rnor_SDR_keratinocytes_CTRL_Rep3_GSM144735_raw.CEL.gz","GLDS-6_array_Rnor_SDR_keratinocytes_IR_56Fe_Rep1_GSM144736_raw.CEL.gz","GLDS-6_array_Rnor_SDR_keratinocytes_IR_56Fe_Rep2_GSM144737_raw.CEL.gz","GLDS-6_array_Rnor_SDR_keratinocytes_IR_56Fe_Rep3_GSM144738_raw.CEL.gz"
"1383382_at",7.12112781574914,7.20712242247991,7.05096263030792,7.36375078917663,7.47500158595928,7.20169455245035
"1383383_at",6.95206528875787,6.79815961244566,6.63511462317509,6.77140936817189,7.00919714266704,6.75062722923425
"1383384_at",6.34264724475138,6.50955688822895,6.27377521636389,6.70240748826676,6.53130934291118,6.50640903616444
"1383385_at",4.53366161940532,4.59624207269387,4.4560319826877,4.37840234597008,4.37397469119219,4.26082641492806
"1383386_a_at",8.89168981712798,8.89784252346786,8.90947463086435,8.89362422356031,8.93855840767613,8.85416099429827
"1383387_at",2.83678626995467,2.84817414049743,3.07753183114295,2.74737229519809,2.97353735670783,2.76778782193019
"1383388_at",7.97111930482868,8.08292611690431,8.08615539426456,8.08005198299928,8.14623949099272,7.94313818165171
"1383389_at",8.09193614948536,7.99193201057939,7.97676114382245,8.14468167184405,8.18209486747437,8.09414840341728
"1383390_at",2.96010103317728,3.05584015245181,3.06301171626725,2.95569417111312,2.965819136247,3.20942328412944
"1383391_a_at",5.17307959137265,5.36227002225541,5.07524817106451,5.23954639007529,4.99573658834223,4.92466736360427
"1383392_at",6.30980714319262,6.44320507227201,6.37412597525338,6.63091322173487,6.50267173975975,6.06262292816032
"1383393_at",8.08245299608953,7.69706275694941,7.99780509067629,7.99506413121895,7.8060475847607,7.81487135445053
"1383394_at",3.96120407325814,4.0809539689912,4.09957864422685,3.78943786699869,3.96536898779992,3.88346010029711
"1383395_at",4.71299263517438,5.13647558049349,5.12451084477151,5.01864660202222,4.83184847745256,4.71156636681926
"1383396_at",2.98826452458235,2.88920316656934,2.71275004240372,2.66037596521446,2.86844564165745,2.66936612664197
"1383397_at",5.08544783969101,5.0155830458535,5.32542776034052,5.32852456555553,5.34168097718676,5.10054685573903
"1383398_at",2.67543066633523,2.71998568475833,2.76182381575412,2.75822743166053,2.67039393226259,2.95059528009767
"1383399_at",6.4381075215331,6.41324715544302,6.32911881059916,6.68331973575672,6.43168228569918,6.23828841973853
"1383400_at",8.02801762941799,7.91750954119486,7.75914258257892,7.95877872396441,8.07653681583457,7.97919530967607
"1383401_at",10.5700030805984,10.3759956459696,10.4717951833668,10.6268426079818,10.555593381967,10.548874974225
"1383402_at",5.12598241522994,5.32583746902758,5.13182576915754,5.12812105379366,5.28482637963126,5.02188827820787
"1383403_at",3.32612878482411,2.71157561170045,2.8713728616082,2.91757955912161,2.75651077619638,2.88120822663326
"1383404_at",4.83880609646445,4.95226021100998,5.043076231312,4.89624849627636,4.92163189339177,4.74360965733563
"1383405_at",7.66746287650968,7.53185144246593,7.31438469867692,7.63305106669295,7.62112300320003,7.4900328328971
"1383406_at",5.92462223735372,5.85867611846135,5.5831527009847,6.27602514871492,6.30875831246949,6.25234231263509
